كود الصنف;اسم الصنف;المجموعة;السعر;النقاط 
DP-F2011002;قاطع فرعي 32 امبير 1 فاز امريكي KSA;لوحات AME;6.8;1
DP-F2012001;قاطع فرعي 6 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012002;قاطع فرعي 10 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012003;قاطع فرعي 16 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012004;قاطع فرعي 20 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012005;قاطع فرعي 25 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012006;قاطع فرعي 32 امبير 1 فاز حساس;لوحات AME;6.8;1
DP-F2012007;قاطع فرعي 40 امبير 1 فاز حساس;لوحات AME;9.5;2
DP-F2012008;قاطع فرعي 50 امبير 1 فاز حساس;لوحات AME;9.5;2
DP-F2012009;قاطع فرعي 63 امبير 1 فاز حساس;لوحات AME;9.5;2
DP-F2012010;قاطع فرعي 20 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012011;قاطع فرعي 25 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012012;قاطع فرعي 32 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012013;قاطع فرعي 40 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012014;قاطع فرعي 50 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012015;قاطع فرعي 63 امبير 2 فاز حساس;لوحات AME;20.4;5
DP-F2012016;قاطع فرعي 32 امبير 3 فاز حساس;لوحات AME;55.9;15
DP-F2012017;قاطع فرعي 40 امبير 3 فاز حساس;لوحات AME;55.9;15
DP-F2012018;قاطع فرعي 50 امبير 3 فاز حساس;لوحات AME;55.9;15
DP-F2012019;قاطع فرعي 63 امبير 3 فاز حساس;لوحات AME;55.9;15
DP-F2013001;قاطع فرعي 16 امبير 1 فاز- RCBO;لوحات AME;77.65;20
DP-F2013002;قاطع فرعي 20 امبير 1 فاز- RCBO;لوحات AME;77.65;20
DP-F2013003;قاطع فرعي 32 امبير 1 فاز امريكي RCBO - KSA;لوحات AME;77.65;20
DP-F2019001;قاطع فرعي 10 امبير 1 فاز;لوحات AME;6.8;1
DP-F2019002;قاطع فرعي 15 امبير 1 فاز;لوحات AME;6.8;1
DP-F2019003;قاطع فرعي 20 امبير 1 فاز;لوحات AME;6.8;1
DP-F2019004;قاطع فرعي 30 امبير 1 فاز;لوحات AME;6.8;1
DP-F2019005;قاطع فرعي 40 امبير 1 فاز;لوحات AME;15.5;4
DP-F2019006;قاطع فرعي 50 امبير 1 فاز;لوحات AME;15.5;4
DP-F2019007;قاطع فرعي 60 امبير 1 فاز;لوحات AME;15.5;4
DP-F2019008;قاطع فرعي 20 امبير 2 فاز;لوحات AME;20.4;5
DP-F2019009;قاطع فرعي 30 امبير 2 فاز;لوحات AME;20.4;5
DP-F2019010;قاطع فرعي 40 امبير 2 فاز;لوحات AME;20.4;5
DP-F2019011;قاطع فرعي 50 امبير 2 فاز;لوحات AME;20.4;5
DP-F2019012;قاطع فرعي 60 امبير 2 فاز;لوحات AME;20.4;5
DP-F2019013;قاطع فرعي 100 امبير 2 فاز;لوحات AME;52;10
